Gene	Expression	Species	Donor
Gene_GDK52	5.43832055527605	Human	10
Gene_NEUO3	3.19901727206893	Human	1
Gene_L4PZ3	3.8173979856923	Human	2
Gene_ON26X	4.90290954734713	Human	3
Gene_GY07M	5.39129419731556	Human	4
Gene_2SSR2	7.20853945299981	Human	5
Gene_MQDSR	7.2815583840371	Human	6
Gene_YPSDA	8.17348177961835	Human	7
Gene_ODPJD	9.77719046172161	Human	8
Gene_EJN1L	3.70726453937573	Human	9
Gene_YT8GS	6.9024732708951	Human	10
Gene_I9IKS	7.40526952198407	Human	1
Gene_44ADU	3.7161316965106	Human	2
Gene_R6LQR	9.82851500707358	Human	3
Gene_JXYE2	2.59087193404138	Human	4
Gene_C6TAQ	11.2992587658355	Human	5
Gene_LLPSX	5.70763767944869	Human	6
Gene_8NWZH	6.9608205432423	Human	7
Gene_2YRVW	7.45638473726247	Human	8
Gene_X1U56	8.24770113847581	Human	9
Gene_GDK52	13.0690810955763	Human	10
Gene_NEUO3	3.89118097486225	Human	1
Gene_L4PZ3	3.35639281808059	Human	2
Gene_ON26X	5.90306969696219	Human	3
Gene_GY07M	6.48801850576935	Human	4
Gene_2SSR2	2.29975963044527	Human	5
Gene_MQDSR	8.99684193526342	Human	6
Gene_YPSDA	8.18826650623255	Human	7
Gene_ODPJD	2.29272258180216	Human	8
Gene_EJN1L	4.23077430933826	Human	9
Gene_YT8GS	11.8636784746065	Human	10
Gene_I9IKS	6.50413685769503	Human	1
Gene_44ADU	26.2028523616899	Human	2
Gene_R6LQR	9.99150190675399	Human	3
Gene_JXYE2	9.93959331976142	Human	4
Gene_C6TAQ	8.24066569246353	Human	5
Gene_LLPSX	8.98210961960028	Human	6
Gene_8NWZH	5.30147888736527	Human	7
Gene_2YRVW	15.7943300308028	Human	8
Gene_X1U56	3.35153404353776	Human	9
Gene_GDK52	8.76921604768162	Human	10
Gene_NEUO3	4.85753676848703	Human	1
Gene_L4PZ3	6.77692122691761	Human	2
Gene_ON26X	5.57306257663189	Human	3
Gene_GY07M	5.56005289127757	Human	4
Gene_2SSR2	26.3911401059722	Human	5
Gene_MQDSR	8.43091550617624	Human	6
Gene_YPSDA	7.22232466209175	Human	7
Gene_ODPJD	6.03324419039288	Human	8
Gene_EJN1L	17.4033678178017	Human	9
Gene_YT8GS	7.4013896160103	Human	10
Gene_I9IKS	10.2397252372297	Human	1
Gene_44ADU	5.50126996944086	Human	2
Gene_R6LQR	15.1745175834431	Human	3
Gene_JXYE2	9.85572470918081	Human	4
Gene_C6TAQ	6.29520623265655	Human	5
Gene_LLPSX	10.870940208096	Human	6
Gene_8NWZH	11.9421759691588	Human	7
Gene_2YRVW	4.11839563790235	Human	8
Gene_X1U56	10.7881345795151	Human	9
Gene_GDK52	4.85344613651625	Human	10
Gene_NEUO3	3.82020007682216	Human	1
Gene_L4PZ3	11.3809503151813	Human	2
Gene_ON26X	17.1841211607862	Human	3
Gene_GY07M	12.2213603905489	Human	4
Gene_2SSR2	6.19588489777267	Human	5
Gene_MQDSR	8.2526293431293	Human	6
Gene_YPSDA	4.02956826900311	Human	7
Gene_ODPJD	3.69087376804286	Human	8
Gene_EJN1L	5.48068811486837	Human	9
Gene_YT8GS	10.0073319103608	Human	10
Gene_I9IKS	8.9139754076855	Human	1
Gene_44ADU	2.58869139931766	Human	2
Gene_R6LQR	8.80047010168297	Human	3
Gene_JXYE2	15.9608217251879	Human	4
Gene_C6TAQ	9.83428639939799	Human	5
Gene_LLPSX	5.18567706755689	Human	6
Gene_8NWZH	5.18244900581464	Human	7
Gene_2YRVW	6.4377530875017	Human	8
Gene_X1U56	2.28289475249062	Human	9
Gene_GDK52	7.89922006342151	Human	10
Gene_NEUO3	10.1367871563094	Human	1
Gene_L4PZ3	8.14223221309995	Human	2
Gene_ON26X	4.12542805347768	Human	3
Gene_GY07M	4.71645450245218	Human	4
Gene_2SSR2	16.3908754645595	Human	5
Gene_MQDSR	13.8403879432381	Human	6
Gene_YPSDA	9.05124803210674	Human	7
Gene_ODPJD	13.425867962699	Human	8
Gene_EJN1L	1.69963725115378	Human	9
Gene_YT8GS	9.48582428911116	Human	10
Gene_I9IKS	11.3541513150377	Human	1
Gene_44ADU	4.58418983931162	Human	2
Gene_R6LQR	5.89181879762146	Human	3
Gene_JXYE2	11.1939763722733	Human	4
Gene_C6TAQ	12.5204841234288	Human	5
Gene_LLPSX	11.8709531449949	Human	6
Gene_8NWZH	6.09077579553054	Human	7
Gene_2YRVW	8.06451195757884	Human	8
Gene_X1U56	3.96896299752242	Human	9
Gene_GDK52	14.5921984349727	Human	10
Gene_NEUO3	6.69649567469572	Human	1
Gene_L4PZ3	9.67804746150526	Human	2
Gene_ON26X	12.6522699577119	Human	3
Gene_GY07M	6.29444310769695	Human	4
Gene_2SSR2	11.4332004768592	Human	5
Gene_MQDSR	13.5201503752342	Human	6
Gene_YPSDA	2.52983652303128	Human	7
Gene_ODPJD	7.58962606122405	Human	8
Gene_EJN1L	7.40181651247051	Human	9
Gene_YT8GS	6.67875180721848	Human	10
Gene_I9IKS	5.55077368105704	Human	1
Gene_44ADU	5.05775687308554	Human	2
Gene_R6LQR	8.52391017339645	Human	3
Gene_JXYE2	5.39144150564245	Human	4
Gene_C6TAQ	2.8928162534345	Human	5
Gene_LLPSX	19.5835208813951	Human	6
Gene_8NWZH	14.4256704954911	Human	7
Gene_2YRVW	5.55357658770574	Human	8
Gene_X1U56	4.58443280034617	Human	9
Gene_GDK52	23.8007297738651	Human	10
Gene_NEUO3	5.12172995734476	Human	1
Gene_L4PZ3	4.0974031648076	Human	2
Gene_ON26X	4.80860132962452	Human	3
Gene_GY07M	13.1892106726676	Human	4
Gene_2SSR2	3.81604419175252	Human	5
Gene_MQDSR	2.74560288019	Human	6
Gene_YPSDA	2.8072807532569	Human	7
Gene_ODPJD	7.08410390728763	Human	8
Gene_EJN1L	5.89331904707967	Human	9
Gene_YT8GS	2.7335921068405	Human	10
Gene_I9IKS	7.06268044748965	Mouse	1
Gene_44ADU	17.410001592486	Mouse	2
Gene_R6LQR	7.09393115430277	Mouse	3
Gene_JXYE2	8.25938518481802	Mouse	4
Gene_C6TAQ	7.03830101493486	Mouse	5
Gene_LLPSX	2.93948554775969	Mouse	6
Gene_8NWZH	4.59936692419286	Mouse	7
Gene_2YRVW	5.67531765639213	Mouse	8
Gene_X1U56	10.1227570621245	Mouse	9
Gene_GDK52	12.8551811999889	Mouse	10
Gene_NEUO3	16.3417361063415	Mouse	1
Gene_L4PZ3	17.8189366192319	Mouse	2
Gene_ON26X	7.80624752867704	Mouse	3
Gene_GY07M	12.9686194872334	Mouse	4
Gene_2SSR2	9.75916776305715	Mouse	5
Gene_MQDSR	6.09288558165611	Mouse	6
Gene_YPSDA	5.08602494740879	Mouse	7
Gene_ODPJD	5.86703100555311	Mouse	8
Gene_EJN1L	4.04688151283927	Mouse	9
Gene_YT8GS	26.5954157596721	Mouse	10
Gene_I9IKS	5.15524906731097	Mouse	1
Gene_44ADU	15.4596971867251	Mouse	2
Gene_R6LQR	7.59009920573186	Mouse	3
Gene_JXYE2	4.29441393679542	Mouse	4
Gene_C6TAQ	6.61317931878602	Mouse	5
Gene_LLPSX	9.40298655234654	Mouse	6
Gene_8NWZH	4.68903369257459	Mouse	7
Gene_2YRVW	8.73422151229049	Mouse	8
Gene_X1U56	5.16024251498324	Mouse	9
Gene_GDK52	20.3338238355241	Mouse	10
Gene_NEUO3	18.8430274240277	Mouse	1
Gene_L4PZ3	9.69512437718579	Mouse	2
Gene_ON26X	7.61232816209439	Mouse	3
Gene_GY07M	12.8229206072794	Mouse	4
Gene_2SSR2	12.4679229722045	Mouse	5
Gene_MQDSR	5.98078631939036	Mouse	6
Gene_YPSDA	4.62538063091618	Mouse	7
Gene_ODPJD	4.13549202692497	Mouse	8
Gene_EJN1L	5.77837155103662	Mouse	9
Gene_YT8GS	14.8818239450484	Mouse	10
Gene_I9IKS	3.81005705879133	Mouse	1
Gene_44ADU	6.49723182158197	Mouse	2
Gene_R6LQR	5.29467555059524	Mouse	3
Gene_JXYE2	3.034210707665	Mouse	4
Gene_C6TAQ	15.2811758862632	Mouse	5
Gene_LLPSX	6.00132446176305	Mouse	6
Gene_8NWZH	9.01110080145686	Mouse	7
Gene_2YRVW	7.08686686025126	Mouse	8
Gene_X1U56	8.97955251400391	Mouse	9
Gene_GDK52	5.58467554905135	Mouse	10
Gene_NEUO3	6.29883782562293	Mouse	1
Gene_L4PZ3	5.30201242395783	Mouse	2
Gene_ON26X	8.76952354716421	Mouse	3
Gene_GY07M	4.53920136995084	Mouse	4
Gene_2SSR2	7.43504804830009	Mouse	5
Gene_MQDSR	9.2485813459751	Mouse	6
Gene_YPSDA	7.77406119886423	Mouse	7
Gene_ODPJD	3.62187916680537	Mouse	8
Gene_EJN1L	13.3630541339457	Mouse	9
Gene_YT8GS	5.11351484932564	Mouse	10
Gene_I9IKS	6.66956056594939	Mouse	1
Gene_44ADU	11.5616822539095	Mouse	2
Gene_R6LQR	6.10461903521104	Mouse	3
Gene_JXYE2	7.47124073219396	Mouse	4
Gene_C6TAQ	6.11960388364141	Mouse	5
Gene_LLPSX	5.96821173076065	Mouse	6
Gene_8NWZH	4.47012248709515	Mouse	7
Gene_2YRVW	9.2222602685646	Mouse	8
Gene_X1U56	4.76218599858947	Mouse	9
Gene_GDK52	10.4104887471144	Mouse	10
Gene_NEUO3	25.1737620033311	Mouse	1
Gene_L4PZ3	12.974947947506	Mouse	2
Gene_ON26X	4.90544078957722	Mouse	3
Gene_GY07M	12.4378068881599	Mouse	4
Gene_2SSR2	8.9913348970616	Mouse	5
Gene_MQDSR	4.70817635779686	Mouse	6
Gene_YPSDA	4.63988935016958	Mouse	7
Gene_ODPJD	11.7406762545169	Mouse	8
Gene_EJN1L	13.5772510520698	Mouse	9
Gene_YT8GS	5.31278628777251	Mouse	10
Gene_I9IKS	7.27185324026131	Mouse	1
Gene_44ADU	8.920599297922	Mouse	2
Gene_R6LQR	8.37982342159283	Mouse	3
Gene_JXYE2	42.1478346952236	Mouse	4
Gene_C6TAQ	16.7402472840502	Mouse	5
Gene_LLPSX	7.57929974028266	Mouse	6
Gene_8NWZH	8.41423254361137	Mouse	7
Gene_2YRVW	5.67420349406748	Mouse	8
Gene_X1U56	5.03777255970898	Mouse	9
Gene_GDK52	3.6811763360825	Mouse	10
Gene_NEUO3	5.12240348449486	Mouse	1
Gene_L4PZ3	8.54833322279736	Mouse	2
Gene_ON26X	3.74680053864729	Mouse	3
Gene_GY07M	10.5263841200078	Mouse	4
Gene_2SSR2	6.67496681452269	Mouse	5
Gene_MQDSR	5.39929694574759	Mouse	6
Gene_YPSDA	17.6784833590353	Mouse	7
Gene_ODPJD	3.02378884902341	Mouse	8
Gene_EJN1L	7.4511433539351	Mouse	9
Gene_YT8GS	7.41591476078687	Mouse	10
Gene_I9IKS	7.26576603918367	Mouse	1
Gene_44ADU	7.79673807794968	Mouse	2
Gene_R6LQR	6.83233674517067	Mouse	3
Gene_JXYE2	12.4227563356839	Mouse	4
Gene_C6TAQ	9.0954281379816	Mouse	5
Gene_LLPSX	10.3975752440575	Mouse	6
Gene_8NWZH	5.13927521732919	Mouse	7
Gene_2YRVW	8.03215431231278	Mouse	8
Gene_X1U56	8.92465349836659	Mouse	9
Gene_GDK52	8.07360178383624	Mouse	10
Gene_NEUO3	4.90389975779923	Mouse	1
Gene_L4PZ3	16.2933182497145	Mouse	2
Gene_ON26X	6.84757241293179	Mouse	3
Gene_GY07M	5.70154823057841	Mouse	4
Gene_2SSR2	2.5041220519123	Mouse	5
Gene_MQDSR	15.3613975815058	Mouse	6
Gene_YPSDA	5.86461859944235	Mouse	7
Gene_ODPJD	5.83666542240752	Mouse	8
Gene_EJN1L	7.83197922635442	Mouse	9
Gene_YT8GS	6.38136081727649	Mouse	10
Gene_I9IKS	2.5671765254376	Mouse	1
Gene_44ADU	5.17756661937719	Mouse	2
Gene_R6LQR	9.70726797031775	Mouse	3
Gene_JXYE2	9.9320917775657	Mouse	4
Gene_C6TAQ	4.61226300583963	Mouse	5
Gene_LLPSX	7.78810245647242	Mouse	6
Gene_8NWZH	17.9352652340454	Mouse	7
Gene_2YRVW	8.61578045694255	Mouse	8
Gene_X1U56	10.4877548441196	Mouse	9
Gene_GDK52	3.36211506455723	Mouse	10
Gene_NEUO3	3.6547554199692	Mouse	1
Gene_L4PZ3	9.07637113144839	Mouse	2
Gene_ON26X	9.20687825575968	Mouse	3
Gene_GY07M	4.1775288288267	Mouse	4
Gene_2SSR2	4.54021108345183	Mouse	5
Gene_MQDSR	4.7544263281911	Mouse	6
Gene_YPSDA	7.01476609573357	Mouse	7
Gene_ODPJD	6.56784740272957	Mouse	8
Gene_EJN1L	2.53346641280954	Mouse	9
Gene_YT8GS	10.667211457511	Mouse	10
Gene_I9IKS	5.23106276063676	Mouse	1
Gene_44ADU	4.20911160260786	Mouse	2
Gene_R6LQR	4.51379843864546	Mouse	3
Gene_JXYE2	11.9034232496823	Mouse	4
Gene_C6TAQ	17.2183732188591	Mouse	5
Gene_LLPSX	8.35031467518014	Mouse	6
Gene_8NWZH	15.9746765849311	Mouse	7
Gene_2YRVW	5.89759279927098	Mouse	8
Gene_X1U56	7.71127914493638	Mouse	9
Gene_GDK52	3.06225727815413	Mouse	10
Gene_NEUO3	2.47733899580041	Mouse	1
Gene_L4PZ3	10.1073576323356	Mouse	2
Gene_ON26X	3.82802452845273	Mouse	3
Gene_GY07M	3.75817715053286	Mouse	4
Gene_2SSR2	12.4292107827594	Mouse	5
Gene_MQDSR	4.31344310208966	Mouse	6
Gene_YPSDA	3.79362250078441	Mouse	7
Gene_ODPJD	11.6075158864186	Mouse	8
Gene_EJN1L	6.12547183124353	Mouse	9
Gene_YT8GS	8.47142809446845	Mouse	10
Gene_I9IKS	20.8363499468759	Mouse	1
Gene_44ADU	9.75314637875723	Mouse	2
Gene_R6LQR	8.84613433019539	Mouse	3
Gene_JXYE2	14.9423681451266	Mouse	4
Gene_C6TAQ	3.55331710873699	Mouse	5
Gene_LLPSX	17.3303417779023	Mouse	6
Gene_8NWZH	5.03145222530192	Mouse	7
Gene_2YRVW	5.51692880013608	Mouse	8
Gene_X1U56	3.44366399526804	Mouse	9
Gene_GDK52	9.84695095748399	Mouse	10
Gene_NEUO3	11.5352417914304	Mouse	1
Gene_L4PZ3	10.9181588621347	Mouse	2
Gene_ON26X	7.90487185893089	Mouse	3
Gene_GY07M	12.4671531376535	Mouse	4
Gene_2SSR2	10.1047657074233	Mouse	5
Gene_MQDSR	5.74770104468421	Mouse	6
Gene_YPSDA	5.34488543096024	Mouse	7
Gene_ODPJD	8.73269729609012	Mouse	8
Gene_EJN1L	3.48987823260212	Mouse	9
Gene_YT8GS	11.1242294491932	Mouse	10
Gene_I9IKS	6.71820175431464	Mouse	1
Gene_44ADU	12.1831587359747	Mouse	2
Gene_R6LQR	8.09528630354811	Mouse	3
Gene_JXYE2	9.79336938935568	Mouse	4
Gene_C6TAQ	7.54530827984871	Mouse	5
Gene_LLPSX	9.42445893313191	Mouse	6
Gene_8NWZH	4.20768280505025	Mouse	7
Gene_2YRVW	8.86271442441262	Mouse	8
Gene_X1U56	9.47265790298602	Mouse	9
Gene_GDK52	1.30323523813659	Mouse	10
Gene_NEUO3	18.4318887545089	Mouse	1
Gene_L4PZ3	11.1293027347167	Mouse	2
Gene_ON26X	11.5829691603077	Mouse	3
Gene_GY07M	6.33954543511603	Mouse	4
Gene_2SSR2	9.37913867578979	Mouse	5
Gene_MQDSR	8.11351976590503	Mouse	6
Gene_YPSDA	3.95350965144574	Mouse	7
Gene_ODPJD	12.2949334435407	Mouse	8
Gene_EJN1L	8.21307959695711	Mouse	9
Gene_YT8GS	7.39522042273612	Mouse	10
